characters:62025
lines:1823
words:6196
29724753,fear
44187392,Aesop
35448489,Fables
152593111,Crow
50112270,once
152593111,Crow
68013423,with
2899263,piece
123636136,cheese
20732382,beak
16815065,settle
48003721,branch
61421631,tree
190637211,That
58882326,said
151271065,Master
188339516,Reynard
130424122,walked
29898199,foot
61421631,tree
161533973,Good
115502476,Mistress
152593111,Crow
87016088,cried
67943735,well
144353800,looking
83968970,glossy
72612712,your
140732507,feathers
65868989,bright
72612712,your
29725271,feel
59226726,sure
72612712,your
38625553,voice
45738326,must
132727523,surpass
61249512,that
135833323,other
175090903,birds
38994053,just
72612712,your
197258645,figure
25400706,does
34220935,hear
59123238,song
29949675,from
61249512,that
124096551,greet
94293500,Queen
146334467,Birds
152593111,Crow
146348833,lifted
34220921,head
165909370,began
20734749,best
108782337,moment
33692147,opened
139797907,mouth
2899263,piece
123636136,cheese
29726188,fell
106171716,ground
50113469,only
149290430,snapped
151271065,Master
190637211,That
68012379,will
58882326,said
190637211,That
135074753,wanted
95779524,exchange
72612712,your
123636136,cheese
68012379,will
32044226,give
2899263,piece
140985628,advice
69495417,future
60557860,trust
25586231,flatterers
44187392,Aesop
35448489,Fables
188406534,Sick
172671472,Lion
172671472,Lion
23153649,come
25163072,days
59018835,sick
63603053,unto
150828896,death
139797907,mouth
22914574,cave
113499084,gasping
56775219,breath
73001097,animals
189506733,subjects
22913395,came
1683834,round
25452193,drew
14602026,nearer
32196466,grew
45635214,more
45635214,more
3179533,helpless
197382002,When
61250041,they
16457909,point
150828896,death
61250041,they
182974465,thought
191181841,themselves
61268230,time
793957,grudges
150291698,Boar
22913395,came
180294592,drove
68013423,with
67266762,tusks
61250030,then
150396099,Bull
117575355,gored
68013423,with
9423248,horns
105891413,still
172671472,Lion
3179533,helpless
123078400,before
61250029,them
98123588,feeling
123120536,quite
58881934,safe
29949675,from
154669644,danger
22913395,came
72964517,turning
61130425,tail
172671472,Lion
13339513,kicked
188045594,heels
36625961,into
29656358,face
190638258,This
199679589,double
150828896,death
21424376,growled
172671472,Lion
179501168,Only
23867538,cowards
128909328,insult
195927217,dying
58812022,majesty
44187392,Aesop
35448489,Fables
18142917,Lapdog
71435105,Farmer
22913395,came
69105671,stables
111906865,beasts
164243245,burden
90859772,among
61250029,them
71740280,favourite
61249512,that
150288436,always
67943735,well
104565977,often
45108551,carried
93168908,master
197401122,With
71435105,Farmer
22913395,came
18142917,Lapdog
154600986,danced
66131701,about
139450111,licked
34153980,hand
112758269,frisked
66131701,about
179242531,happy
80478664,could
71435105,Farmer
29726196,felt
62081786,pocket
31906938,gave
18142917,Lapdog
59123105,some
143551288,dainty
29898183,food
25403059,down
116063405,while
31906938,gave
16311334,orders
109368687,servants
18142917,Lapdog
155460441,jumped
36625961,into
93168908,master
37802228,there
48673690,blinking
116063405,while
71435105,Farmer
71647668,stroked
27410246,ears
184231804,seeing
61250559,this
195273142,broke
180739035,loose
29949675,from
50859114,halter
32314307,commenced
24253184,prancing
66131701,about
167077398,imitation
18142917,Lapdog
71435105,Farmer
80478664,could
34393972,hold
81075697,sides
68013423,with
136512152,laughter
67944005,went
91760849,putting
29725279,feet
63636719,upon
71435105,Farmer
167296971,shoulder
37614021,attempted
73528588,climb
36625961,into
71435105,Farmer
109368687,servants
171063428,rushed
68013423,with
114325729,sticks
140277360,pitchforks
59123376,soon
174910134,taught
61249512,that
53667537,Clumsy
125178748,jesting
38890024,joke
44187392,Aesop
35448489,Fables
172671472,Lion
43932264,Mouse
179499969,Once
67994303,when
172671472,Lion
39641255,asleep
177823025,little
43932264,Mouse
165909370,began
79513851,running
25403059,down
63636719,upon
61250559,this
59123376,soon
515097,wakened
172671472,Lion
113472519,placed
34496284,huge
63636719,upon
33692147,opened
38651356,jaws
67266467,swallow
124428276,Pardon
170423243,King
87016088,cried
177823025,little
43932264,Mouse
9106319,forgive
61250559,this
61268230,time
78777033,shall
9178902,never
42588193,forget
85318172,knows
67993785,what
18434243,able
61474826,turn
59123105,some
37802359,these
25163072,days
172671472,Lion
41024738,tickled
36452372,idea
43932264,Mouse
165945388,being
18434243,able
34222374,help
61249512,that
146348833,lifted
188510804,Some
61268230,time
75207772,after
172671472,Lion
44296078,caught
61421118,trap
177207660,hunters
97480143,desired
48954714,carry
